Item_code,Item_name,Category,Sub_category
012546670463,TRIDENT VITALITY VIGORATE,,
012546671231,TRIDENT SPLASH STRAW,,
012546671316,TRIDENT WHITE COOL COLADA,,
012546671576,TRIDENT WHITE COOL BUBBLE,,
012546672412,TRIDENT SPLASH,,
012546672511,TRIDENT MINTY SWEET,,
012546672535,TRIDENT WILD BLUEBERRY,,
012546673099,TRIDENT PASSIONBERRY,,
012546673358,TRIDENT SPLASH ORANGE SWIRL,,
012546673716,TRIDENT PEPPERMINT,,
012546673754,TRIDENT XTRA CARE,,
012546674379,TRIDENT WHITE COOL MANGOBERRY,,
012546674737,TRIDENT GREEN,,
012546675161,TRIDENT COOL CITRUS,,
012546675215,TRIDENT STRAW,,
012546676045,TRIDENT VITALITY ZEN GREEN TEA,,
012546676090,TRIDENT WHITE PEPPERMINT,,
012546676113,TRIDENT WHITE SPEARMINT,,
012546676137,TRIDENT WHITE WINTERGREEN,,
012546680028,STRIDE WINTERBLUE,,
012546680042,STRIDE SPEARMINT,,
012546680196,STRIDE SWEET PEPPERMINT,,
012546680219,STRIDE FOREVER FRUIT,,
012546680714,STRIDE SWEET CINN,,
012546680783,STRIDE ALWAYS MANDRIN,,
012546681025,STRIDE NONSTOP MINTS,,
012546681711,STRIDE UBER BUBBLE,,
012546681827,STRIDE ETERNAL MELON,,
012546682077,STRIDE SHIFT,,
012546682510,STRIDE MYSTERY,,
012546682657,STRIDE TROPICAL TRIANGLE,,
012546685016,STRIDE BERRY MELON,,
012546685061,STRIDE SPEARMINT,,
012546711500,CERTS PEPPERMINTS,,
012546713603,CERTS CLASSIC MINTS,,
012546913614,BUBBLICIOUS SOUR MANIA,,
012546915120,BUBBLICIOUS FRUIT,,
012546915199,BUBBALICIOUS BUBBLEGUM,,
012546915342,BUBBLICIOUS BLUEBERRY,,
012546917025,BUBBLICIOUS TROPICAL,,
012546917568,BUBBLICIOUS STRAW,,
012546917698,BUBBLICIOUS GRAPE,,
012546918336,BUBBLICIOUS MANGO,,
012894100636,ROSEMOUNT RIESLING 750ML,,
012894845117,ROSEMOUNT CAB-SAU 750ML,,
012894855215,ROSEMOUNT SHIRAZ 750ML,,
012894865313,ROSEMOUNT PINOT NOIR 750ML,,
012894868017,ROSEMOUNT SHIR-CAB 750ML,,
012894925512,ROSEMOUNT MERLOT 750ML,,
012894995058,ROSEMOUNT CAB-MER 750ML,,
012976990056,RONDEL CAVA 750ML,,
012976990926,RAIMAT CASTELL DE RAIMAT ROSE,,
013051488475,PARTY CUPS 18OZ 16CUPS,,
013051660338,ELEGANT TOUCH 16 CUPS,,
013413500210,VSC LIQ FILLED CHOC BOX,,
013700005206,HEFTY KITCHEN FRESH 20 BAGS,,
013700110955,HEFTY EASY GRIP 9OZ CUPS 50CAP,,
013700118302,HEFTY EASY GRIP 18OZ CUPS,,
013700228209,HEFTY THE GRIPPER 20BAGS,,
014257514869,VIM-25,,
014800511758,CLAMATO 16OZ,,
014974100024,WOODCHUCK RASPBERRY 6PK,,
014974200090,WOODCHUCK PINK RES 6PK,,
014974300097,WOODCHUCK CRISP 6PK,,
014974512063,WOODCHUCK AMBER 12PK,,
014974700095,WOODCHUCK HARD CIDER PEAR 6PK,,
014974800092,WOODCHUCK GRANNY SMITH 6PK,,
014974900099,WOODCHUCK HARD CIDER SUMME 6PK,,
015643241499,AFFRESCHI PIN-GRI 1.5L,,
015904107908,WILLIAM HILL ESTATE CHARD,,
015904207905,WILLIAM HILL CHARD NAPA 750ML,,
015904507890,WILLIAM HILL CAB SAUV NA 750ML,,
015904517912,WILLIAM HILL MERLOT NAPA 750ML,,
015917026968,FREEMARK ABBEY CAB SAUV 750ML,,
016229901479,FOCO COCONUT JUICE 17.6OZ,,
016600000739,ROSE S LIME JUICE SWEETEN 1LT,,
016600325016,ROSE S APPLE 750ML,,
016600325023,ROSE S RASBERRY 750ML,,
016600325030,ROSE S CRANBERRY 750ML,,
016600325061,ROSE S MANGO 750ML,,
016600325078,ROSE S POMEGRANATE 750ML,,
016600352074,ROSE S MOJITO 750ML,,
016900010728,7up 20oz,,
017224712107,CAYMUS CAB SAU NAPA 2014 750ML,,
017224750123,CONUNDRUM WHITE 25TH ANN 750ML,,
017224760122,CONUNDRUM RED 25TH ANN 750ML,,
017444000411,CECCHETTI SEBASTIANI,,
017444000428,CECCHETTI SEBASTIANI MER. 750M,,
017444000701,SMOKING LOON CAB SAUV 750ML,,
017444000725,SMOKING LOON MERLOT 750ML,,
017444000756,SMOKING LOON PINOT NOIR 750ML,,
017444000763,SMOKING LOON CHARD 750ML,,
017444000770,SMOKING LOON SAUV BLANC 750ML,,
017444000787,SMOKING LOON PINOT GRIGI 750ML,,
017444000862,SMOKING LOON RED BLEND 750ML,,
018138201022,EDNA VALLEY CHARDONNAY 750ML,,
018138202029,EDNA VALLEY SAUV. BLANC 750ML,,
018138204023,EDNA VALLEY PINOT NOIR 750ML,,
018138209028,EDNA VALLEY CAB 750ML,,
018138209035,EDNA VALLEY MERLOT 750ML,,
018138555026,HEWITT CAB SAUV NAPA 2011,,
018200004735,BUDWEISER 16OZ ALUM BOT,,
018200006463,BUD ICE 12OZ 6PK BOT,,
018200007699,BUD LT 12PK BOT,,
018200007712,BUDWIESER 12PK BOT,,
018200007736,BudLight 7oz 6pk bottle,,
018200007743,Budweiser 7oz 6pk bottle,,
018200007842,O DOUL S 6PK BOT 12OZ,,
018200008016,BUSCH LIGHT 12PK CANS,,
018200008337,BUD LIGHT 12OZ 6PK NR,,
018200008344,BUDWEISER  12OZ 6PK BOT,,
018200009563,michelob light 12oz 6pk,,
018200009648,NATURAL ICE 12PK CANS,,
018200009785,BUD ICE 12OZ 12PK NR,,
018200009877,MICHELOB ORIGINAL LAGER,,
018200009952,BUD 16OZ BOT 6PK,,
018200019982,BUD LIGHT LIME 7OZ 6PK BOT,,
018200029929,O DOULS AMBER 12OZ 6OK,,
018200059896,MICHELOB ULTRA 12OZ 6PK BOT,,
018200059902,MICHELOB ULTRA 12OZ 12PK BOT,,
018200069864,Bacardi O3 12oz 6 pk,,
018200069925,BACARDI RAZ 6PK BOT,,
018200079955,BACARDI MOJITO 6PK BOT,,
018200089831,Bacardi Watermelon 12oz 6 pk,,
018200089947,BUDWEISER  SELECT 12OZ 6PK,,
018200109850,Bacardi Strawberry 12oz 6 pk,,
018200109935,WILD BLUE 6PK BOT,,
018200110306,BUDWEISER 30PK CANS,,
018200110474,BUDWEISER  12OZ 12PK CANS,,
018200112188,BUDWEISER 18PK CAN,,
018200112652,BUDWEISER 7OZ 24 PK BOT CASE,,
018200113499,BUDWEISER 24PK LOOSE BOT,,
018200119811,Bacardi Peach 12oz. 6pk,,
018200119859,RED BRIDGE GLUTEN FREE 6PK BOT,,
018200129827,LAND SHARK 12OZ 6PK,,
018200129896,MICHELOB ULTRA LIME,,
018200129902,MICHELOB ULTRA POM RAS 6PK BOT,,
018200129988,LAND SHARK 12PK BOT,,
018200139864,SHOCK TOP 6PK BOT,,
018200139970,Mojito Pomegranate 12oz 6pk,,
018200140235,BUD LT RITA-FIESTA 8OZ 24PK CN,,
018200149818,Mojito Mango 12oz 6pk,,
018200149900,BUD LT LIME 12OZ 12PK BOT,,
018200149917,BUD LIGHT LIME 12OZ 6PK NR,,
018200149986,BUD AMERICAN ALE 12OZ 6PK,,
018200150302,NATURAL LIGHT 12OZ 30PK CANS,,
018200150470,NATURAL LIGHT 12PK CANS,,
018200159831,BUDLIGHT LIME CAN12OZ,,
018200159916,BACARDI SANGRIA 6PK BOT,,
018200159961,SELECT,,
018200159985,BUD LIGHT GOLDEN WHEAT 6PKBOT,,
018200169892,SHOCKTOP RASPBERRY WHET 6PK,,
018200169922,MARGARITAVILLE SPIKED TEA 6PK,,
018200169953,STELLA ARTOS CHALICE 10PK CANS,,
018200179938,SHOCKTOP SUNSET ORANGE 6PK BOT,,
018200179990,BUD LT 8OZ CAN 12PK,,
018200189814,BUD 8OZ CAN 12PK,,
018200189920,BUD LT PLATINUM 12PK BOT,,
018200189937,BUD LIGHT PLATINUM 6PK BOT,,
018200189968,BECK S SAPPHIRE 6PK BOT,,
018200189982,MICHELOB ULTRA LIGHT CIDER,,
018200199875,BUD LT LIME LIMA-A-RITA 12PK,,
018200200021,BEST DAMN ROOT BEER 6PK BOT,,
018200200120,BEST DAMN CHEERY COLA 6PK BOT,,
018200200144,BUD LT LIME-A-RITA SPLASH 6PK,,
018200200151,BUD LT STRAW-BER-RITA SPLASH 6,,
018200209833,LAND SHARK 12PK CAN,,
018200209932,BUD LT LIME STR-BER-RIT 12PK 8,,
018200209963,BUD BLACK CROWN 12OZ BOT 6PK,,
018200209970,BUD PLATINUM 10 PK,,
018200209987,BUD LT ALUM 16OZ BOT 8PK,,
018200219917,STELLA ARTOIS CIDRE 4PK BOT,,
018200219962,SHOCKTOP 10PK BELGIAN WHITE,,
018200219986,SHOCKTOP HONEYCRISP APPLE 6PK,,
018200229794,JOHNNY APPLESEED 6PK BOT,,
018200229886,BUD LT LIME RAZ-A-RITA 12PK,,
018200229893,BUD LT LIME MANG-O-RITA 12PK,,
018200229923,BUD LT PEACH-A-RITA 12PK 8OZ,,
018200229954,SHOCKTOP HONEY BOURBON 6PK,,
018200240010,STELLA ARTOIS CIDRE 6PK 12OZ,,
018200250002,BUDWEISER 25OZ,,
018200250019,BUD LT 25OZ,,
018200250064,BUD ICE 25OZ,,
018200250095,BUD LIME 25OZ CAN,,
018200250101,MICHELOB ULTRA 250Z,,
018200250149,BUD LT LIME A RITA 25OZ,,
018200250286,BECK S REG 25OZ CAN,,
018200255052,BUD LT LIME STR-B-RITA 25OZ,,
018200255137,SHOCK TOP ALUM 11.5OZ BOT,,
018200255199,SHOCK TOP APPLE 16 OZ CAN,,
018200255311,BUD LT LIME RAZ-O-RITA 25OZ,,
018200255328,BUD LT LIME MAN- RITA 16OZ 4PK,,
018200255335,BUD LT LIME MANGO-O-RITA 25OZ,,
018200255380,BUD LT BERRY-A-RITA 25OZ,,
018200255793,BUD LT WATER-MELON-RI 16OZ 6PK,,
018200258404,BUD LT WATER-M- RITA 16OZ 4PK,,
018200270307,NATURAL ICE 12OZ 30PK CANS,,
018200281334,BUD LT LIME 12OZ CAN 30PK,,
018200281372,BUD ALUMINUM 16OZ 20BOT,,
018200281402,BUD LIGHT ALUMINUM 16OZ 20BOT,,
018200281563,SHOCK TOP 15PK CAN 12OZ,,
018200283031,BEST DAMN ROOT BEER CASE 12OZ,,
018200530302,BUD LIGHT 30PK CANS,,
018200530470,BUD LIGHT 12OZ 12PK CANS,,
018200531682,BudLight 12oz 24pk Can,,
